PartID,Cohort,Timepoint,Hopping_Foot_1,Hopping_Arm_1,Hopping_Leg_1,Hopping_Foot_2,Hopping_Arm_2,Hopping_Leg_2,Hopping_Foot_3,Hopping_Arm_3,Hopping_Leg_3,Hopping_Foot_4,Hopping_Arm_4,Hopping_Leg_4,Kick_Approach_1,Kick_Support Loc_1,Kick_Knee Action_1,Kick_Trunk Action_1,Kick_Arm Action_1,Kick_Follow Through_1,Kick_Approach_2,Kick_Support Loc_2,Kick_Knee Action_2,Kick_Trunk Action_2,Kick_Arm Action_2,Kick_Follow Through_2,Kick_Approach_3,Kick_Support Loc_3,Kick_Knee Action_3,Kick_Trunk Action_3,Kick_Arm Action_3,Kick_Follow Through_3,Kick_Approach_4,Kick_Support Loc_4,Kick_Knee Action_4,Kick_Trunk Action_4,Kick_Arm Action_4,Kick_Follow Through_4,Kick_Approach_5,Kick_Support Loc_5,Kick_Knee Action_5,Kick_Trunk Action_5,Kick_Arm Action_5,Kick_Follow Through_5,Jump_TO_Arm_1,Jump_TO_Leg_1,Jump_LND_Shank_1,Jump_LND_Foot_1,Jump_LND_Arm_1,Jump_TO_Arm_2,Jump_TO_Leg_2,Jump_LND_Shank_2,Jump_LND_Foot_2,Jump_LND_Arm_2,Jump_TO_Arm_3,Jump_TO_Leg_3,Jump_LND_Shank_3,Jump_LND_Foot_3,Jump_LND_Arm_3,Jump_TO_Arm_4,Jump_TO_Leg_4,Jump_LND_Shank_4,Jump_LND_Foot_4,Jump_LND_Arm_4,Jump_TO_Arm_5,Jump_TO_Leg_5,Jump_LND_Shank_5,Jump_LND_Foot_5,Jump_LND_Arm_5,Throw_Step_1,Throw_Trunk_1,Throw_Humerus_1,Throw_Forearm_1,Throw_Step_2,Throw_Trunk_2,Throw_Humerus_2,Throw_Forearm_2,Throw_Step_3,Throw_Trunk_3,Throw_Humerus_3,Throw_Forearm_3,Throw_Step_4,Throw_Trunk_4,Throw_Humerus_4,Throw_Forearm_4,Throw_Step_5,Throw_Trunk_5,Throw_Humerus_5,Throw_Forearm_5
67,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,C1,T1,L,3,2,L,3,2,R,3,2,R,2,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,1,3,1,2,2,3,3,2,2,2,3,3,1,2,2,2,3,2,3,2,2,3,1,2,1,3,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
81,C1,T2,R,2,2,L,2,2,R,2,2,L,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,3,3,2,2,2,3,4,2,2,2,3,3,2,3,2,3,3,1,1,2,3,3,1,1,2,1,1,1,1,2,2,2,1,1,3,2,1,1,2,2,1,1,2,2,1
81,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,C1,T5,L,2,2,L,2,2,R,2,2,R,2,2,2,3,2,1,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,3,2,3,2,2,3,1,1,1,2,3,1,1,1,2,3,1,1,1,2,3,2,1,1,1,2,2,2,3,1,1,1,3,1,1,1,3,1,1,1,3,2,1,2
82,C1,T1,L,2,2,L,2,2,R,2,2,R,2,2,2,2,2,1,2,2,2,3,2,1,1,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,1,3,2,3,2,2,3,1,2,2,2,3,2,3,4,2,4,1,2,2,2,4,2,3,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1
82,C1,T2,R,2,3,L,3,3,R,3,3,L,4,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,4,2,3,2,3,4,2,3,2,3,4,2,3,2,2,4,2,3,2,4,4,1,2,2,2,2,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1
82,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,C1,T1,R,1,2,R,1,1,L,1,1,,,,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,1,3,2,3,2,1,3,2,3,2,1,3,2,2,2,1,3,2,2,1,1,3,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
83,C1,T2,R,2,2,L,1,1,R,2,2,,,,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,2,1,3,1,1,1,1,1,1,1,1,1,3,1,1,1,2,3,2,2,2,2,3,1,2,2,1,1,1,1,1,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1
83,C1,T3,R,1,2,R,1,2,,,,,,,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,1,3,2,3,3,1,3,1,1,1,1,3,2,3,2,1,3,1,3,2,1,3,1,3,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
83,C1,T4,R,2,2,R,2,2,,,,,,,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,1,3,2,3,2,1,3,2,3,2,1,3,2,2,2,1,3,2,2,2,1,3,2,2,2,3,2,1,2,3,2,1,1,3,2,1,1,1,2,2,2,1,2,1,1
83,C1,T5,R,2,2,R,2,2,L,1,1,L,1,1,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,3,2,1,3,2,3,3,1,3,2,3,3,1,3,2,3,3,1,3,2,3,3,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2,2,2
84,C1,T1,R,2,1,L,2,2,R,1,1,L,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,4,4,2,2,2,4,4,1,2,2,4,4,1,1,2,4,4,1,2,2,4,4,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
84,C1,T2,R,2,3,L,5,4,R,3,3,L,4,4,2,3,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,1,3,2,1,2,2,2,3,2,1,2,2,4,4,2,2,2,3,4,2,2,1,2,4,2,2,2,2,4,2,2,2,2,4,2,2,2,2,1,1,1,2,1,1,1,2,1,1,1,3,1,1,1,3,1,1,1
84,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,C1,T1,L,1,1,L,1,1,R,1,1,R,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,4,2,3,1,1,4,2,3,1,2,3,2,2,2,2,4,1,1,1,2,4,2,2,2,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
85,C1,T2,L,2,1,R,2,1,L,1,1,R,1,1,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,4,4,1,1,1,4,4,2,1,1,3,4,2,2,2,2,1,1,1,1,3,1,1,1,1,3,2,1,2,2,2,1,2,2,2,1,2,3,2,1,2,3,2,1,2
85,C1,T3,R,1,1,L,1,2,R,1,1,R,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,3,4,2,1,2,3,4,2,3,3,3,4,2,2,3,3,4,2,3,3,1,4,2,1,1,2,1,1,2,2,2,1,2,2,2,1,2,2,2,1,2,1,2,1,2
85,C1,T4,R,3,2,R,3,2,L,2,2,L,1,2,2,3,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,3,3,4,2,2,4,3,4,2,3,4,4,4,2,2,4,4,4,2,3,2,4,4,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2
85,C1,T5,L,2,2,L,2,2,R,2,2,R,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,3,4,2,3,2,3,4,1,2,3,2,3,1,2,1,3,4,1,2,1,3,4,2,2,4,2,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2
86,C1,T1,,,,,,,,,,,,,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,4,1,2,2,2,4,2,3,3,2,4,1,1,2,2,4,1,1,1,2,4,1,1,2,1,2,1,1,3,2,1,1,3,2,1,1,1,1,1,1,1,2,1,1
86,C1,T2,L,2,2,L,3,2,R,2,2,L,3,2,2,3,2,1,2,3,2,2,2,1,2,2,2,2,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,4,2,2,2,2,4,2,2,2,3,4,1,2,2,3,4,1,2,1,2,4,2,2,2,3,2,2,2,3,2,2,2,1,2,1,2,3,2,2,2,3,2,1,1
86,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,C1,T5,R,4,3,R,4,3,L,4,2,L,2,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,2,3,2,3,2,2,4,2,3,2,2,4,2,3,2,2,4,2,3,4,2,4,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
87,C1,T1,R,1,2,L,1,2,R,2,2,L,1,2,2,3,2,1,2,2,2,3,2,2,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,2,3,2,2,4,2,3,2,3,3,2,3,2,3,3,2,3,2,3,3,1,2,1,3,4,1,1,2,1,2,1,2,3,2,1,2,3,2,3,2,3,2,1,2,3,2,1,2
87,C1,T2,R,1,2,L,1,2,R,1,2,,,,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,2,2,2,2,1,2,3,2,3,4,2,3,2,2,4,2,3,2,2,4,2,3,2,2,3,1,3,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,3,2
87,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,C1,T1,L,3,2,R,1,2,R,2,2,L,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,3,2,2,4,1,2,2,2,3,1,2,2,2,4,2,3,2,1,4,,,,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1
88,C1,T2,L,3,2,R,2,2,L,3,2,R,2,2,2,3,2,1,2,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,x,1,1,2,4,x,2,3,2,3,x,2,3,2,3,x,1,2,2,3,x,1,2,2,1,2,1,2,3,2,1,2,3,2,1,2,3,2,1,2,3,2,2,2
88,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,C1,T5,L,4,3,L,4,4,R,2,2,R,2,2,3,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,3,4,2,3,2,3,4,2,3,4,3,4,2,3,3,4,4,2,3,3,4,4,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,1,2,3,3,3,2,2,2
89,C1,T1,,,,,,,R,1,1,R,1,1,2,3,2,1,2,1,2,2,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,1,1,2,1,2,3,1,3,2,2,2,1,4,2,2,2,2,4,1,2,2,2,4,2,2,2,2,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,C1,T2,L,1,2,R,1,2,L,1,2,R,1,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,x,1,1,1,2,x,1,1,1,2,x,2,3,2,2,x,2,3,2,2,x,1,1,2,1,2,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,1
89,C1,T3,R,1,2,R,1,2,L,1,2,L,1,1,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,2,1,2,1,3,2,2,1,1,3,2,2,2,1,3,2,2,2,1,3,2,2,1,3,3,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1
89,C1,T4,L,2,2,L,2,1,R,2,2,R,1,2,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,1,4,2,3,2,3,4,2,2,1,3,3,2,2,1,3,4,2,3,2,3,4,2,3,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1
89,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,C1,T1,R,2,3,L,1,1,R,1,1,L,1,1,1,3,3,1,2,1,1,3,3,1,2,1,2,3,2,1,2,3,1,3,3,1,2,1,1,3,3,1,2,1,1,3,2,1,4,1,3,1,2,2,1,4,1,1,1,1,4,2,1,2,2,3,2,1,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,1,3,2,2,2
90,C1,T2,L,2,2,R,1,1,L,2,2,R,1,1,2,3,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,1,x,2,3,2,1,x,2,3,2,1,x,2,3,2,1,x,2,3,2,1,x,2,3,2,3,2,3,2,3,2,2,2,3,2,3,2,3,2,2,2,3,2,2,2
90,C1,T3,L,1,2,L,2,2,R,1,2,R,1,1,3,3,2,2,2,2,3,3,2,2,2,3,3,3,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,2,3,4,2,1,2,3,4,2,3,2,2,4,2,3,2,3,4,2,1,1,1,1,2,1,1,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
90,C1,T4,L,2,2,L,2,2,R,2,2,R,2,2,2,3,2,1,2,3,2,2,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,2,2,1,2,3,2,3,2,1,1,1,4,2,2,3,1,3,2,3,3,1,3,2,1,1,1,4,2,3,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
90,C1,T5,L,2,2,L,2,2,R,2,2,R,2,2,3,3,2,2,2,2,2,2,3,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,3,2,1,2,2,2,4,2,3,2,3,4,2,3,2,3,4,2,3,3,3,4,2,3,2,1,4,2,3,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2,3,2,2,2
91,C1,T1,L,2,2,L,2,2,R,2,2,R,2,2,1,3,3,1,2,1,1,3,3,1,2,1,1,3,3,1,2,2,1,3,3,1,2,1,1,3,3,1,2,1,2,3,1,2,1,2,4,1,2,2,2,3,1,2,2,2,3,1,2,2,2,4,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1
91,C1,T2,R,2,2,L,2,3,R,2,2,L,2,3,2,3,3,1,2,2,2,3,3,1,2,2,2,3,3,1,2,2,2,3,3,1,2,2,2,3,3,1,2,2,4,3,1,2,1,3,3,1,2,2,3,4,1,2,2,2,3,2,2,2,3,3,1,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,1,2
91,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,C1,T5,L,2,2,L,3,2,R,2,3,R,2,3,3,2,2,2,2,2,2,2,2,1,2,2,2,3,2,1,2,2,2,2,2,1,2,2,2,3,2,1,2,2,3,3,2,3,2,3,3,2,3,3,2,4,2,3,3,2,4,2,3,2,3,4,2,3,3,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2
92,C1,T1,R,2,2,R,2,2,L,1,2,L,2,3,2,2,2,1,2,3,2,2,2,1,2,3,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,2,1,1,1,2,2,1,2,1,2,1,2,3,1,2,2,1,3,1,2,1,1,3,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,1,1
92,C1,T2,R,4,3,L,2,2,R,2,2,L,3,2,2,3,2,1,2,2,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,2,3,2,1,2,3,1,1,1,1,1,1,3,2,3,2,1,1,0,0,0,2,3,2,3,2,3,4,2,2,2,1,1,1,1,2,1,1,1,1,2,2,1,1,2,2,1,1,,,
92,C1,T3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,C1,T4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,C1,T5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
